"month","item","definition","uni_lemma","learned","value"
17,13,"alligator","alligator",0,1
17,15,"ant","ant",0,0
17,16,"bear","bear",0,0
17,21,"butterfly","butterfly",0,1
17,22,"cat","cat",0,0
17,24,"cow","cow",0,0
17,25,"deer","deer",0,1
17,27,"donkey","donkey",0,0
17,28,"duck","duck",1,1
17,29,"elephant","elephant",0,0
17,31,"frog","frog",0,1
17,32,"giraffe","giraffe",0,1
17,33,"goose","goose",0,1
17,35,"horse","horse",0,0
17,37,"lamb","lamb",0,1
17,38,"lion","lion",0,0
17,40,"moose","moose",0,0
17,41,"mouse","mouse",0,0
17,42,"owl","owl",0,0
17,43,"penguin","penguin",0,0
17,44,"pig","pig",0,1
17,45,"pony","pony",0,0
17,47,"rooster","rooster",0,1
17,48,"sheep","sheep",0,0
17,49,"squirrel","squirrel",0,0
17,51,"tiger","tiger",0,0
17,52,"turkey","turkey",0,1
17,53,"turtle","turtle",0,2
17,55,"zebra","zebra",0,0
17,56,"airplane","airplane",0,0
17,58,"boat","boat",0,0
17,59,"bus","bus",0,1
17,60,"car","car",0,1
17,62,"helicopter","helicopter",0,0
17,63,"motorcycle","motorcycle",0,1
17,64,"sled","sled",0,1
17,66,"tractor","tractor",0,1
17,67,"train","train",0,0
17,68,"tricycle","tricycle",0,1
17,69,"truck","truck",0,0
17,71,"balloon","balloon",0,2
17,77,"crayon","crayon",0,1
17,78,"doll","doll",0,1
17,81,"pen","pen",0,2
17,82,"pencil","pencil",0,1
17,88,"apple","apple",0,2
17,91,"beans","beans",0,1
17,92,"bread","bread",0,1
17,94,"cake","cake",0,1
17,99,"cheese","cheese",0,2
17,105,"corn","corn",0,1
17,131,"peas","peas",0,2
17,133,"pickle","pickle",0,2
17,138,"potato","potato",0,1
17,141,"pumpkin","pumpkin",0,2
17,142,"raisin","raisin",0,1
17,149,"strawberry","strawberry",0,1
17,157,"belt","belt",0,1
17,159,"boots","boots",0,1
17,161,"coat","coat",0,2
17,164,"gloves","gloves",0,0
17,166,"jacket","jacket",0,1
17,167,"jeans","jeans",0,1
17,168,"mittens","mittens",0,0
17,169,"necklace","necklace",0,1
17,170,"pajamas","pajamas",0,1
17,171,"pants","pants",0,2
17,173,"shirt","shirt",0,1
17,180,"sweater","sweater",0,1
17,211,"basket","basket",0,0
17,213,"bottle","bottle",0,1
17,214,"bowl","bowl",0,2
17,215,"box","box",0,0
17,216,"broom","broom",0,1
17,218,"bucket","bucket",0,2
17,221,"clock","clock",0,2
17,223,"cup","cup",0,1
17,224,"dish","dish",0,2
17,225,"fork","fork",0,0
17,229,"hammer","hammer",0,0
17,230,"jar","jar",0,0
17,232,"knife","knife",0,0
17,233,"lamp","lamp",0,0
