"month","item","definition","uni_lemma","learned","value"
17,15,"vaca","cow",0,0
17,16,"tortuga","turtle",0,0
17,18,"ratón","mouse",0,0
17,19,"rana","frog",0,0
17,20,"puerco","pig",0,0
17,24,"perro","dog",0,0
17,25,"pato","duck",0,0
17,27,"oso","bear",0,0
17,31,"mariposa","butterfly",0,0
17,33,"león","lion",0,0
17,34,"jirafa","giraffe",0,0
17,35,"hormiga","ant",0,0
17,38,"gato","cat",0,0
17,42,"elefante","elephant",0,0
17,46,"caballo","horse",0,0
17,47,"burro","donkey",0,0
17,50,"borrego","lamb",0,0
17,53,"araña","spider",0,0
17,58,"tren","train",0,0
17,60,"moto","motorcycle",0,0
17,61,"helicóptero","helicopter",0,0
17,62,"carro","car",0,0
17,64,"camión","truck",0,0
17,67,"barco","boat",0,0
17,68,"avión","airplane",0,0
17,71,"arroz","rice",0,0
17,90,"frijoles","beans",0,0
17,105,"manzana","apple",0,0
17,108,"naranja","orange",0,0
17,116,"pastel","cake",0,0
17,119,"plátano","banana",0,0
17,120,"pollo","chicken",0,0
17,122,"queso","cheese",0,0
17,146,"falda","skirt",0,0
17,152,"pantalón","pants",0,0
17,153,"pijama","pajamas",0,0
17,158,"suéter","sweater",0,0
17,159,"vestido","dress",0,0
17,192,"globo","balloon",0,0
17,194,"juguete","toy",0,0
17,196,"libro","book",0,0
17,197,"muñeca","doll",0,0
17,204,"tambor","drum",0,0
17,206,"botas","boots",0,0
17,211,"almohada","pillow",0,0
17,215,"botella","bottle",0,0
17,216,"caja","box",0,0
17,221,"cepillo","brush",0,0
17,224,"cigarros","cigarette",0,0
17,229,"cuchara","spoon",0,0
17,230,"cuchillo","knife",0,0
17,232,"escoba","broom",0,0
17,233,"espejo","mirror",0,0
17,245,"peine","comb",0,0
17,248,"plato","plate",0,0
17,249,"radio","radio",0,0
17,253,"taza","cup",0,0
17,254,"teléfono","telephone",0,0
17,255,"tenedor","fork",0,0
17,256,"tijeras","scissors",0,0
17,260,"vela","candle",0,0
17,282,"piedra","rock",0,0
17,296,"cama","bed",0,0
17,304,"estufa","stove",0,0
17,309,"mesa","table",0,0
17,312,"puerta","door",0,0
17,319,"silla","chair",0,0
17,323,"tina","bathtub",0,0
18,15,"vaca","cow",0,0
18,16,"tortuga","turtle",0,0
18,18,"ratón","mouse",0,0
18,19,"rana","frog",0,0
18,20,"puerco","pig",0,0
18,24,"perro","dog",1,0
18,25,"pato","duck",0,0
18,27,"oso","bear",0,0
18,31,"mariposa","butterfly",0,0
18,33,"león","lion",0,0
18,34,"jirafa","giraffe",0,0
18,35,"hormiga","ant",0,0
18,38,"gato","cat",0,0
18,42,"elefante","elephant",0,0
18,46,"caballo","horse",0,0
18,47,"burro","donkey",0,0
18,50,"borrego","lamb",0,0
18,53,"araña","spider",0,0
18,58,"tren","train",0,0
18,60,"moto","motorcycle",0,0
18,61,"helicóptero","helicopter",0,0
18,62,"carro","car",1,0
18,64,"camión","truck",0,0
18,67,"barco","boat",0,0
18,68,"avión","airplane",0,0
18,71,"arroz","rice",0,0
18,90,"frijoles","beans",0,0
18,105,"manzana","apple",0,0
18,108,"naranja","orange",0,0
18,116,"pastel","cake",0,0
18,119,"plátano","banana",0,0
18,120,"pollo","chicken",0,0
18,122,"queso","cheese",0,0
18,146,"falda","skirt",0,0
18,152,"pantalón","pants",0,0
18,153,"pijama","pajamas",0,0
18,158,"suéter","sweater",0,0
18,159,"vestido","dress",0,0
18,192,"globo","balloon",1,0
18,194,"juguete","toy",0,0
18,196,"libro","book",0,0
18,197,"muñeca","doll",0,0
18,204,"tambor","drum",0,0
18,206,"botas","boots",0,0
18,211,"almohada","pillow",0,0
18,215,"botella","bottle",0,0
18,216,"caja","box",0,0
18,221,"cepillo","brush",0,0
18,224,"cigarros","cigarette",0,0
18,229,"cuchara","spoon",0,0
18,230,"cuchillo","knife",0,0
18,232,"escoba","broom",0,0
18,233,"espejo","mirror",0,0
18,245,"peine","comb",0,0
18,248,"plato","plate",0,0
18,249,"radio","radio",0,0
18,253,"taza","cup",0,0
18,254,"teléfono","telephone",0,0
18,255,"tenedor","fork",0,0
18,256,"tijeras","scissors",0,0
18,260,"vela","candle",0,0
18,282,"piedra","rock",0,0
18,296,"cama","bed",0,0
18,304,"estufa","stove",0,0
18,309,"mesa","table",0,0
18,312,"puerta","door",0,0
18,319,"silla","chair",0,0
18,323,"tina","bathtub",0,0
19,15,"vaca","cow",0,2
19,16,"tortuga","turtle",0,2
19,18,"ratón","mouse",0,0
19,19,"rana","frog",0,0
19,20,"puerco","pig",0,0
19,25,"pato","duck",0,0
19,27,"oso","bear",0,2
19,31,"mariposa","butterfly",0,6
19,33,"león","lion",0,2
19,34,"jirafa","giraffe",0,0
19,35,"hormiga","ant",0,0
19,38,"gato","cat",0,0
19,42,"elefante","elephant",0,2
19,46,"caballo","horse",0,4
19,47,"burro","donkey",0,0
19,50,"borrego","lamb",0,0
19,53,"araña","spider",0,2
19,58,"tren","train",0,2
19,60,"moto","motorcycle",0,4
19,61,"helicóptero","helicopter",0,2
19,64,"camión","truck",0,4
19,67,"barco","boat",0,4
19,68,"avión","airplane",0,4
19,71,"arroz","rice",0,4
19,90,"frijoles","beans",0,0
19,105,"manzana","apple",0,4
19,108,"naranja","orange",0,4
19,116,"pastel","cake",0,0
19,119,"plátano","banana",0,4
19,120,"pollo","chicken",0,0
19,122,"queso","cheese",0,2
19,146,"falda","skirt",0,6
19,152,"pantalón","pants",0,6
19,153,"pijama","pajamas",0,0
19,158,"suéter","sweater",0,6
19,159,"vestido","dress",0,6
19,194,"juguete","toy",0,4
19,196,"libro","book",0,0
19,197,"muñeca","doll",0,4
19,204,"tambor","drum",0,4
19,206,"botas","boots",0,2
19,211,"almohada","pillow",0,0
19,215,"botella","bottle",1,2
19,216,"caja","box",0,2
19,221,"cepillo","brush",0,2
19,224,"cigarros","cigarette",0,4
19,229,"cuchara","spoon",0,2
19,230,"cuchillo","knife",0,0
19,232,"escoba","broom",0,2
19,233,"espejo","mirror",0,0
19,245,"peine","comb",0,6
19,248,"plato","plate",0,4
19,249,"radio","radio",0,0
19,253,"taza","cup",0,6
19,254,"teléfono","telephone",0,2
19,255,"tenedor","fork",0,2
19,256,"tijeras","scissors",0,2
19,260,"vela","candle",0,6
19,282,"piedra","rock",0,2
19,296,"cama","bed",0,0
19,304,"estufa","stove",0,0
19,309,"mesa","table",0,4
19,312,"puerta","door",0,0
19,319,"silla","chair",0,0
19,323,"tina","bathtub",0,4
20,15,"vaca","cow",0,3
20,16,"tortuga","turtle",0,3
20,18,"ratón","mouse",0,0
20,19,"rana","frog",0,1
20,20,"puerco","pig",0,0
20,25,"pato","duck",0,0
20,27,"oso","bear",0,3
20,31,"mariposa","butterfly",0,7
20,33,"león","lion",0,3
20,34,"jirafa","giraffe",0,0
20,35,"hormiga","ant",0,0
20,38,"gato","cat",1,0
20,42,"elefante","elephant",0,3
20,46,"caballo","horse",1,5
20,47,"burro","donkey",0,0
20,50,"borrego","lamb",0,0
20,53,"araña","spider",0,3
20,58,"tren","train",0,2
20,60,"moto","motorcycle",0,4
20,61,"helicóptero","helicopter",0,2
20,64,"camión","truck",0,5
20,67,"barco","boat",0,5
20,68,"avión","airplane",0,5
20,71,"arroz","rice",0,5
20,90,"frijoles","beans",0,1
20,105,"manzana","apple",0,6
20,108,"naranja","orange",0,5
20,116,"pastel","cake",0,0
20,119,"plátano","banana",0,6
20,120,"pollo","chicken",0,0
20,122,"queso","cheese",0,2
20,146,"falda","skirt",0,7
20,152,"pantalón","pants",0,7
20,153,"pijama","pajamas",0,0
20,158,"suéter","sweater",0,7
20,159,"vestido","dress",0,7
20,194,"juguete","toy",0,5
20,196,"libro","book",0,0
20,197,"muñeca","doll",0,5
20,204,"tambor","drum",0,5
20,206,"botas","boots",0,3
20,211,"almohada","pillow",0,0
20,216,"caja","box",0,4
20,221,"cepillo","brush",0,4
20,224,"cigarros","cigarette",0,5
20,229,"cuchara","spoon",0,4
20,230,"cuchillo","knife",0,0
20,232,"escoba","broom",0,4
20,233,"espejo","mirror",0,1
20,245,"peine","comb",0,8
20,248,"plato","plate",0,6
20,249,"radio","radio",0,0
20,253,"taza","cup",0,8
20,254,"teléfono","telephone",0,4
20,255,"tenedor","fork",0,4
20,256,"tijeras","scissors",0,4
20,260,"vela","candle",0,7
20,282,"piedra","rock",0,2
20,296,"cama","bed",1,0
20,304,"estufa","stove",0,0
20,309,"mesa","table",0,5
20,312,"puerta","door",0,0
20,319,"silla","chair",1,0
20,323,"tina","bathtub",0,5
21,15,"vaca","cow",1,20
21,16,"tortuga","turtle",0,18
21,18,"ratón","mouse",0,12
21,19,"rana","frog",0,16
21,20,"puerco","pig",0,16
21,25,"pato","duck",1,12
21,27,"oso","bear",1,20
21,31,"mariposa","butterfly",0,14
21,33,"león","lion",0,15
21,34,"jirafa","giraffe",0,16
21,35,"hormiga","ant",0,5
21,42,"elefante","elephant",0,19
21,47,"burro","donkey",0,16
21,50,"borrego","lamb",0,18
21,53,"araña","spider",0,19
21,58,"tren","train",0,8
21,60,"moto","motorcycle",0,10
21,61,"helicóptero","helicopter",0,8
21,64,"camión","truck",0,12
21,67,"barco","boat",0,16
21,68,"avión","airplane",1,12
21,71,"arroz","rice",0,7
21,90,"frijoles","beans",0,2
21,105,"manzana","apple",0,8
21,108,"naranja","orange",0,6
21,116,"pastel","cake",0,1
21,119,"plátano","banana",1,10
21,120,"pollo","chicken",1,16
21,122,"queso","cheese",0,5
21,146,"falda","skirt",0,9
21,152,"pantalón","pants",0,24
21,153,"pijama","pajamas",0,7
21,158,"suéter","sweater",0,11
21,159,"vestido","dress",0,9
21,194,"juguete","toy",0,6
21,196,"libro","book",0,0
21,197,"muñeca","doll",0,9
21,204,"tambor","drum",0,6
21,206,"botas","boots",0,5
21,211,"almohada","pillow",0,7
21,216,"caja","box",0,15
21,221,"cepillo","brush",0,5
21,224,"cigarros","cigarette",0,7
21,229,"cuchara","spoon",0,9
21,230,"cuchillo","knife",0,0
21,232,"escoba","broom",0,9
21,233,"espejo","mirror",0,3
21,245,"peine","comb",1,10
21,248,"plato","plate",0,10
21,249,"radio","radio",0,0
21,253,"taza","cup",0,10
21,254,"teléfono","telephone",0,5
21,255,"tenedor","fork",0,5
21,256,"tijeras","scissors",0,5
21,260,"vela","candle",0,11
21,282,"piedra","rock",0,2
21,304,"estufa","stove",0,0
21,309,"mesa","table",1,23
21,312,"puerta","door",0,4
21,323,"tina","bathtub",0,12
22,16,"tortuga","turtle",0,111
22,18,"ratón","mouse",0,82
22,19,"rana","frog",0,100
22,20,"puerco","pig",0,103
22,31,"mariposa","butterfly",0,65
22,33,"león","lion",0,94
22,34,"jirafa","giraffe",0,103
22,35,"hormiga","ant",0,40
22,42,"elefante","elephant",0,107
22,47,"burro","donkey",0,95
