"month","item","definition","uni_lemma","learned","value"
17,14,"gås","goose",0,0
17,15,"løve","lion",0,0
17,16,"and","duck",0,0
17,18,"mus","mouse",0,0
17,20,"hest","horse",0,0
17,25,"bjørn","bear",0,0
17,27,"pingvin","penguin",0,0
17,29,"hund","dog",0,0
17,31,"egern","squirrel",0,0
17,33,"skildpadde","turtle",0,0
17,34,"elefant","elephant",0,0
17,36,"sommerfugl","butterfly",0,0
17,39,"tiger","tiger",0,0
17,41,"kat","cat",0,0
17,42,"ugle","owl",0,0
17,43,"frø","frog",0,0
17,47,"ko","cow",0,0
17,49,"får","sheep",0,0
17,51,"æsel","donkey",0,0
17,52,"giraf","giraffe",0,0
17,53,"kylling","chicken",0,0
17,54,"gris","pig",0,0
17,55,"lam","lamb",0,0
17,57,"flyvemaskine","airplane",0,0
17,58,"motorcykel","motorcycle",0,0
17,59,"bil","car",0,0
17,60,"helikopter","helicopter",0,0
17,64,"tog","train",0,0
17,65,"bus","bus",0,0
17,67,"traktor","tractor",0,0
17,69,"lastbil","truck",0,0
17,70,"ballon","balloon",0,0
17,72,"legetøj","toy",0,0
17,76,"bog","book",0,0
17,79,"bold","ball",0,0
17,82,"dukke","doll",0,0
17,91,"appelsin","orange",0,0
17,94,"banan","banana",0,0
17,95,"kylling","chicken",0,0
17,103,"brød","bread",0,0
17,119,"ost","cheese",0,0
17,146,"rosiner","raisin",0,0
17,147,"æble","apple",0,0
17,151,"kager","cake",0,0
17,153,"ærter","peas",0,0
17,159,"bluse","shirt",0,0
17,160,"jakke","jacket",0,0
17,162,"bukser","pants",0,0
17,163,"kjole","dress",0,0
17,164,"støvler","boots",0,0
17,171,"frakke","coat",0,0
17,175,"nattøj","pajamas",0,0
17,177,"halskæde","necklace",0,0
17,179,"trøje","sweater",0,0
17,215,"klokke","clock",0,0
17,216,"saks","scissors",0,0
17,218,"kop","cup",0,0
17,221,"kost","broom",0,0
17,222,"ske","spoon",0,0
17,226,"børste","brush",0,0
17,228,"skål","bowl",0,0
17,230,"krus","cup",0,0
17,236,"lampe","lamp",0,0
17,238,"flaske","bottle",0,0
17,241,"gaffel","fork",0,0
17,243,"tallerken","plate",0,0
17,249,"telefon","telephone",0,0
17,250,"hammer","hammer",0,0
17,255,"tæppe","carpet",0,0
17,256,"kam","comb",0,0
17,257,"pude","pillow",0,0
17,262,"kasse","box",0,0
17,263,"radio","radio",0,0
17,267,"badekar","bathtub",0,0
17,273,"bord","table",0,0
17,274,"ovn","oven",0,0
17,279,"dør","door",0,0
17,280,"seng","bed",0,0
17,282,"garage","garage",0,0
17,284,"vask","sink",0,0
17,289,"sofa","couch",0,0
17,291,"komfur","stove",0,0
17,292,"soveværelse","bedroom",0,0
17,295,"stol","chair",0,0
17,302,"sten","rock",0,0
17,316,"skovl","shovel",0,0
17,324,"kælk","sled",0,0
18,14,"gås","goose",0,0
18,15,"løve","lion",0,0
18,16,"and","duck",0,0
18,18,"mus","mouse",0,0
18,20,"hest","horse",0,0
18,25,"bjørn","bear",0,0
18,27,"pingvin","penguin",0,0
18,29,"hund","dog",0,0
18,31,"egern","squirrel",0,0
18,33,"skildpadde","turtle",0,0
18,34,"elefant","elephant",0,0
18,36,"sommerfugl","butterfly",0,0
18,39,"tiger","tiger",0,0
18,41,"kat","cat",0,0
18,42,"ugle","owl",0,0
18,43,"frø","frog",0,0
18,47,"ko","cow",0,0
18,49,"får","sheep",0,0
18,51,"æsel","donkey",0,0
18,52,"giraf","giraffe",0,0
18,53,"kylling","chicken",0,0
18,54,"gris","pig",0,0
18,55,"lam","lamb",0,0
18,57,"flyvemaskine","airplane",0,0
18,58,"motorcykel","motorcycle",0,0
18,59,"bil","car",0,0
18,60,"helikopter","helicopter",0,0
18,64,"tog","train",0,0
18,65,"bus","bus",0,0
18,67,"traktor","tractor",0,0
18,69,"lastbil","truck",0,0
18,70,"ballon","balloon",0,0
18,72,"legetøj","toy",0,0
18,76,"bog","book",0,0
18,79,"bold","ball",0,0
18,82,"dukke","doll",0,0
18,91,"appelsin","orange",0,0
18,94,"banan","banana",0,0
18,95,"kylling","chicken",0,0
18,103,"brød","bread",0,0
18,119,"ost","cheese",0,0
18,146,"rosiner","raisin",0,0
18,147,"æble","apple",0,0
18,151,"kager","cake",0,0
18,153,"ærter","peas",0,0
18,159,"bluse","shirt",0,0
18,160,"jakke","jacket",0,0
18,162,"bukser","pants",0,0
18,163,"kjole","dress",0,0
18,164,"støvler","boots",0,0
18,171,"frakke","coat",0,0
18,175,"nattøj","pajamas",0,0
18,177,"halskæde","necklace",0,0
18,179,"trøje","sweater",0,0
18,215,"klokke","clock",0,0
18,216,"saks","scissors",0,0
18,218,"kop","cup",0,0
18,221,"kost","broom",0,0
18,222,"ske","spoon",0,0
18,226,"børste","brush",0,0
18,228,"skål","bowl",0,0
18,230,"krus","cup",0,0
18,236,"lampe","lamp",0,0
18,238,"flaske","bottle",0,0
18,241,"gaffel","fork",0,0
18,243,"tallerken","plate",0,0
18,249,"telefon","telephone",0,0
18,250,"hammer","hammer",0,0
18,255,"tæppe","carpet",0,0
18,256,"kam","comb",0,0
18,257,"pude","pillow",0,0
18,262,"kasse","box",0,0
18,263,"radio","radio",0,0
18,267,"badekar","bathtub",0,0
18,273,"bord","table",0,0
18,274,"ovn","oven",0,0
18,279,"dør","door",0,0
18,280,"seng","bed",0,0
18,282,"garage","garage",0,0
18,284,"vask","sink",0,0
18,289,"sofa","couch",0,0
18,291,"komfur","stove",0,0
18,292,"soveværelse","bedroom",0,0
18,295,"stol","chair",0,0
18,302,"sten","rock",0,0
18,316,"skovl","shovel",0,0
