"month","item","definition","uni_lemma","learned","value"
19,12,"기차","train",0,0
19,13,"배","boat",0,0
19,14,"버스","bus",0,0
19,15,"비행기","airplane",0,0
19,16,"불자동차/소방차","firetruck",0,0
19,18,"오토바이","motorcycle",0,0
19,19,"유모차","stroller",0,0
19,20,"자전거","bicycle",0,0
19,21,"차/자동차","car",1,0
19,23,"트럭","truck",0,0
19,27,"블록","block",0,0
19,28,"비누방울","bubbles",0,0
19,29,"선물","present",0,0
19,32,"장난감","toy (object)",0,0
19,33,"종이","paper",0,0
19,34,"책","book",1,0
19,36,"크레용/크레파스","crayon",0,0
19,38,"풍선","balloon",1,0
19,40,"개구리","frog",0,0
19,41,"개미","ant",0,0
19,42,"거북이","turtle",0,0
19,43,"거위","goose",0,0
19,44,"고양이","cat",0,0
19,47,"기린","giraffe",0,0
19,49,"다람쥐","squirrel",0,0
19,50,"닭","chicken (animal)",0,0
19,51,"당나귀","donkey",0,0
19,52,"동물","animal",0,0
19,54,"말","horse",0,0
19,56,"뱀","snake",0,0
19,57,"벌","bee",0,0
19,58,"벌레","bug",0,0
19,59,"병아리","chick",0,0
19,60,"부엉이","owl",0,0
19,62,"사슴","deer",0,0
19,65,"소","cow",0,0
19,66,"송아지","calf",0,0
19,67,"악어","crocodile",0,0
19,69,"여우","fox",0,0
19,70,"염소","goat",0,0
19,72,"원숭이","monkey",0,0
19,73,"쥐","mouse",0,0
19,75,"코끼리","elephant",0,0
19,77,"펭귄","penguin",0,0
19,78,"하마","hippopotamus",0,0
19,80,"가방","bag",0,0
19,85,"목걸이","necklace",0,0
19,87,"목도리","scarf",0,0
19,92,"잠바","jacket",0,0
19,93,"잠옷","pajamas",0,0
19,94,"장갑","gloves",0,0
19,96,"치마","skirt",0,0
19,100,"계단","stairs",0,0
19,101,"냉장고","refrigerator",0,0
19,102,"목욕탕","bathtub",0,0
19,103,"문","door",0,0
19,104,"방","room",0,0
19,106,"부엌","kitchen",0,0
19,107,"서랍","drawer",0,0
19,108,"세탁기","washing machine",0,0
19,109,"소파","couch",0,0
19,110,"옷장","closet",0,0
19,111,"유리","glass",0,0
19,112,"의자","chair",0,0
19,113,"이불","blanket",0,0
19,116,"창문","window",0,0
19,117,"침대","bed",0,0
19,120,"화장실","bathroom",0,0
19,122,"감자","potato",0,0
19,123,"계란/달걀","egg",0,0
19,126,"과일","fruit",0,0
19,128,"국","soup",0,0
19,129,"국수","noodles",0,0
19,134,"닭고기","chicken (food)",0,0
19,138,"땅콩","peanut",0,0
19,146,"배추","cabbage",0,0
19,147,"복숭아","peach",0,0
19,152,"생선","fish (food)",0,0
19,153,"설탕","sugar",0,0
19,155,"수박","watermelon",0,0
19,156,"스파게티","spaghetti",0,0
19,157,"쌀","rice",0,0
19,160,"오렌지","orange (food)",0,0
19,162,"요구르트","yogurt",0,0
19,164,"음식","food",0,0
19,165,"주스","juice",0,0
19,166,"초콜렛","chocolate",0,0
19,168,"커피","coffee",0,0
19,169,"케이크","cake",0,0
19,172,"토마토","tomato",0,0
19,174,"피자","pizza",0,0
19,175,"핫도그","hot dog",0,0
19,179,"고추","penis",0,0
19,183,"등","back",0,0
19,186,"머리카락","hair",0,0
19,187,"목","neck",0,0
19,189,"무릎","knee",0,0
19,195,"뺨","cheek",0,0
19,197,"손가락","finger",0,0
19,199,"얼굴","face",0,0
19,201,"이/이빨","tooth",0,0
19,202,"입","mouth",0,0
19,205,"턱","chin",0,0
19,206,"팔","arm",0,0
19,209,"혀","tongue",0,0
19,210,"가위","scissors",0,0
19,211,"걸레","rag",0,0
19,212,"그릇","bowl",0,0
19,213,"그림","picture",0,0
19,214,"돈","money",0,0
19,215,"라디오","radio",0,0
19,216,"망치","hammer",0,0
19,218,"병","bottle",0,0
19,219,"비누","soap",0,0
19,220,"빗","comb (object)",0,0
19,221,"빗자루","broom",0,0
19,222,"상자","box",0,0
19,223,"수건","towel",0,0
19,224,"숟가락","spoon",0,0
19,225,"시계","clock",0,0
19,226,"쓰레기","trash",0,0
19,228,"안경","glasses",0,0
19,230,"열쇠","keys",0,0
19,232,"우산","umbrella",0,0
19,235,"접시","plate",0,0
19,237,"지갑","purse",0,0
19,238,"청소기","vacuum",0,0
19,240,"칫솔","toothbrush",0,0
19,241,"카메라","camera",0,0
19,242,"칼","knife",0,0
19,244,"포크","fork",0,0
19,246,"구름","cloud",0,0
19,247,"그네","swing (object)",0,0
19,248,"길","street",0,0
19,252,"눈","snow",0,0
19,255,"돌","stone",0,0
19,256,"땅","ground",0,0
19,257,"모래","sand",0,0
19,258,"미끄럼틀","slide (object)",0,0
19,259,"바람","wind",0,0
19,261,"별","star",0,0
19,262,"불","fire",0,0
19,263,"비","rain",0,0
19,264,"사다리","ladder",0,0
19,267,"지붕","roof",0,0
19,268,"풀","grass",0,0
19,269,"하늘","sky",0,0
19,NA,"썰매",NA,NA,0
19,NA,"택시",NA,NA,0
19,NA,"헬리콥터",NA,NA,0
19,NA,"로봇",NA,NA,0
19,NA,"연필",NA,NA,0
19,NA,"총",NA,NA,0
19,NA,"풀",NA,NA,0
19,NA,"공룡",NA,NA,0
19,NA,"비둘기",NA,NA,0
19,NA,"토끼",NA,NA,0
19,NA,"구두",NA,NA,0
19,NA,"운동화",NA,NA,0
19,NA,"주머니",NA,NA,0
19,NA,"전자레인지",NA,NA,0
19,NA,"김",NA,NA,0
19,NA,"김치",NA,NA,0
19,NA,"껌",NA,NA,0
19,NA,"당근",NA,NA,0
19,NA,"도너츠",NA,NA,0
19,NA,"딸기",NA,NA,0
19,NA,"떡",NA,NA,0
19,NA,"라면",NA,NA,0
19,NA,"메론",NA,NA,0
19,NA,"무/무우",NA,NA,0
19,NA,"밤",NA,NA,0
19,NA,"사이다",NA,NA,0
19,NA,"얼음",NA,NA,0
19,NA,"옥수수",NA,NA,0
19,NA,"콜라",NA,NA,0
19,NA,"햄버거",NA,NA,0
19,NA,"호떡",NA,NA,0
19,NA,"호박",NA,NA,0
19,NA,"몸",NA,NA,0
19,NA,"발목",NA,NA,0
19,NA,"발톱",NA,NA,0
19,NA,"어깨",NA,NA,0
19,NA,"엉덩이",NA,NA,0
19,NA,"입술",NA,NA,0
19,NA,"피",NA,NA,0
19,NA,"허리",NA,NA,0
19,NA,"쓰레기통/휴지통",NA,NA,0
19,NA,"옷걸이",NA,NA,0
19,NA,"쟁반",NA,NA,0
19,NA,"젓가락",NA,NA,0
19,NA,"깃발",NA,NA,0
19,NA,"눈사람",NA,NA,0
19,NA,"바위",NA,NA,0
19,NA,"시소",NA,NA,0
19,NA,"흙",NA,NA,0
20,12,"기차","train",0,0
20,13,"배","boat",0,0
20,14,"버스","bus",1,0
20,15,"비행기","airplane",0,0
20,16,"불자동차/소방차","firetruck",0,0
20,18,"오토바이","motorcycle",1,0
20,19,"유모차","stroller",1,0
20,20,"자전거","bicycle",1,0
20,23,"트럭","truck",0,0
20,27,"블록","block",0,0
20,28,"비누방울","bubbles",0,0
20,29,"선물","present",0,0
20,32,"장난감","toy (object)",1,0
20,33,"종이","paper",0,0
20,36,"크레용/크레파스","crayon",0,0
20,40,"개구리","frog",0,0
20,41,"개미","ant",0,0
20,42,"거북이","turtle",0,0
20,43,"거위","goose",0,0
20,44,"고양이","cat",0,0
20,47,"기린","giraffe",0,0
20,49,"다람쥐","squirrel",0,0
20,50,"닭","chicken (animal)",0,0
20,51,"당나귀","donkey",0,0
20,52,"동물","animal",1,0
20,54,"말","horse",0,0
20,56,"뱀","snake",0,0
20,57,"벌","bee",0,0
20,58,"벌레","bug",0,0
20,59,"병아리","chick",0,0
20,60,"부엉이","owl",0,0
20,62,"사슴","deer",0,0
20,65,"소","cow",1,0
20,66,"송아지","calf",0,0
20,67,"악어","crocodile",1,0
20,69,"여우","fox",0,0
20,70,"염소","goat",0,0
20,72,"원숭이","monkey",0,0
20,73,"쥐","mouse",0,0
20,75,"코끼리","elephant",0,0
20,77,"펭귄","penguin",0,0
20,78,"하마","hippopotamus",0,0
20,80,"가방","bag",1,0
20,85,"목걸이","necklace",0,0
20,87,"목도리","scarf",1,0
20,92,"잠바","jacket",0,0
20,93,"잠옷","pajamas",0,0
20,94,"장갑","gloves",0,0
20,96,"치마","skirt",1,0
20,100,"계단","stairs",0,0
20,101,"냉장고","refrigerator",1,0
