"month","item","definition","uni_lemma","learned","value"
17,15,"vaca","cow",0,0
17,16,"tortuga","turtle",0,0
17,18,"ratón","mouse",0,0
17,19,"rana","frog",0,0
17,20,"puerco","pig",0,0
17,21,"pollito","chick",0,0
17,23,"pescado","fish (animal)",0,0
17,24,"perro","dog",0,0
17,25,"pato","duck",0,0
17,26,"pájaro","bird",0,0
17,27,"oso","bear",0,0
17,29,"mosca","fly (animal)",0,0
17,30,"mono","monkey",0,0
17,31,"mariposa","butterfly",0,0
17,32,"lobo","wolf",0,0
17,33,"león","lion",0,0
17,34,"jirafa","giraffe",0,0
17,35,"hormiga","ant",0,0
17,38,"gato","cat",0,0
17,40,"gallina","hen",0,0
17,42,"elefante","elephant",0,0
17,43,"conejo","bunny",0,0
17,46,"caballo","horse",0,0
17,47,"burro","donkey",0,0
17,50,"borrego","lamb",0,0
17,53,"araña","spider",0,0
17,54,"animal","animal",0,0
17,55,"abeja","bee",0,0
17,58,"tren","train",0,0
17,60,"moto","motorcycle",0,0
17,61,"helicóptero","helicopter",0,0
17,62,"carro/coche","car",0,0
17,64,"camión/troca","truck",0,0
17,66,"bicicleta","bicycle",0,0
17,67,"barco","boat",0,0
17,68,"avión","airplane",0,0
17,71,"arroz","rice",0,0
17,72,"atole","atole",0,0
17,75,"café","coffee",0,0
17,77,"carne","meat",0,0
17,81,"chile","chili",0,0
17,83,"comida","food",0,0
17,84,"dulce","candy",0,0
17,90,"frijoles","beans",0,0
17,91,"galleta","cookie",0,0
17,94,"helado/nieve","ice cream",0,0
17,97,"huevo","egg",0,0
17,98,"jamón","ham",0,0
17,99,"jugo","juice",0,0
17,105,"manzana","apple",0,0
17,108,"naranja","orange (food)",0,0
17,109,"paleta","lollipop",0,0
17,116,"pastel","cake",0,0
17,119,"plátano/banana","banana",0,0
17,120,"pollo","chicken (food)",0,0
17,121,"quesadilla","quesadilla",0,0
17,122,"queso","cheese",0,0
17,124,"salchicha","hot dog",0,0
17,127,"soda/refresco","soda",0,0
17,128,"sopa","soup",0,0
17,132,"tortilla","tortilla",0,0
17,133,"uvas","grapes",0,0
17,138,"botón","button",0,0
17,140,"calcetín","sock",0,0
17,141,"calzón","underpants",0,0
17,146,"falda","skirt",0,0
17,149,"lentes","glasses",0,0
17,151,"pañal","diaper",0,0
17,152,"pantalón","pants",0,0
17,153,"pijama","pajamas",0,0
17,154,"playera","t-shirt",0,0
17,156,"shorts","shorts",0,0
17,157,"sombrero","hat",0,0
17,158,"suéter","sweater",0,0
17,159,"vestido","dress (object)",0,0
17,162,"bigote","moustache",0,0
17,163,"boca","mouth",0,0
17,164,"brazo","arm",0,0
17,165,"cabeza","head",0,0
17,166,"cachete","cheek",0,0
17,167,"cara","face",0,0
17,168,"chichi/pecho","breast",0,0
17,169,"dedo","finger",0,0
17,170,"dientes","tooth",0,0
17,174,"lengua","tongue",0,0
17,175,"mano","hand",0,0
17,177,"nariz","nose",0,0
17,178,"ojos","eye",0,0
17,179,"ombligo","belly button",0,0
17,180,"oreja","ear",0,0
17,181,"panza","tummy",0,0
17,182,"pelo","hair",0,0
17,183,"pene","penis",0,0
17,184,"piernas","leg",0,0
17,185,"pies","foot",0,0
17,186,"rodilla","knee",0,0
17,192,"globo/bomba","balloon",0,0
17,194,"juguete","toy (object)",0,0
17,195,"lápiz","pen/pencil",0,0
17,196,"libro","book",0,0
17,197,"muñeca","doll",0,0
17,198,"osito","teddybear",0,0
17,204,"tambor","drum",0,0
17,206,"botas","boots",0,0
17,207,"bolsa (clothing)","purse",0,0
17,208,"babero","bib",0,0
17,209,"aretes","earrings",0,0
17,211,"almohada","pillow",0,0
17,213,"basura","trash",0,0
17,215,"botella/mamila","bottle",0,0
17,216,"caja","box",0,0
17,220,"cepillo de dientes","toothbrush",0,0
17,221,"cepillo","brush (object)",0,0
17,223,"chupón/chupete","pacifier",0,0
17,224,"cigarros","cigarette",0,0
17,226,"cobija","blanket",0,0
17,229,"cuchara","spoon",0,0
17,230,"cuchillo","knife",0,0
17,231,"dinero","money",0,0
17,232,"escoba","broom",0,0
17,233,"espejo","mirror",0,0
17,234,"fotos","photos",0,0
17,235,"jabón","soap",0,0
17,237,"llave","keys",0,0
17,238,"luz","light",0,0
17,240,"medicina","medicine",0,0
17,243,"papel","paper",0,0
17,245,"peine","comb (object)",0,0
17,248,"plato","plate",0,0
17,249,"radio","radio",0,0
17,250,"reloj","watch (object)",0,0
17,253,"taza","cup",0,0
17,254,"teléfono","telephone",0,0
17,255,"tenedor","fork",0,0
17,256,"tijeras","scissors",0,0
17,257,"toalla","towel",0,0
17,258,"trapo","cloth",0,0
17,259,"vasos","glass",0,0
17,260,"vela","candle",0,0
17,262,"árbol","tree",0,0
17,264,"cielo","sky",0,0
17,266,"columpio","swing (object)",0,0
17,267,"estrella","star",0,0
17,268,"flor","flower",0,0
17,272,"lluvia","rain",0,0
17,273,"luna","moon",0,0
17,278,"nube","cloud",0,0
17,282,"piedra","rock (object)",0,0
17,283,"planta","plant",0,0
17,285,"resbaladilla","slide (object)",0,0
17,286,"sol","sun",0,0
17,288,"techo","roof",0,0
17,292,"bacinica","potty",0,0
17,294,"baño","bathroom",0,0
17,295,"cajón","drawer",0,0
17,296,"cama","bed",0,0
17,299,"cocina","kitchen",0,0
17,301,"cuarto","room",0,0
17,302,"cuna","crib",0,0
17,303,"escaleras","stairs",0,0
17,304,"estufa","stove",0,0
17,309,"mesa","table",0,0
17,312,"puerta","door",0,0
17,314,"refrigerador","refrigerator",0,0
17,315,"regadera/ducha","shower",0,0
17,317,"sala","living room",0,0
17,319,"silla","chair",0,0
17,322,"televisión","tv",0,0
17,323,"tina","bathtub",0,0
17,324,"ventana","window",0,0
17,NA,"víbora",NA,NA,0
17,NA,"mosco",NA,NA,0
17,NA,"foca",NA,NA,0
17,NA,"triciclo (vehicles)",NA,NA,0
17,NA,"atún",NA,NA,0
17,NA,"azúcar",NA,NA,0
17,NA,"chícharo",NA,NA,0
17,NA,"chicle",NA,NA,0
17,NA,"chocolate",NA,NA,0
17,NA,"durazno",NA,NA,0
17,NA,"elote",NA,NA,0
17,NA,"fresa",NA,NA,0
17,NA,"gelatina",NA,NA,0
17,NA,"hielo",NA,NA,0
17,NA,"cacahuete/maní",NA,NA,0
17,NA,"melón",NA,NA,0
17,NA,"palomitas",NA,NA,0
17,NA,"papas",NA,NA,0
17,NA,"papitas",NA,NA,0
17,NA,"pasas",NA,NA,0
17,NA,"pescado (food_drink)",NA,NA,0
17,NA,"sal",NA,NA,0
17,NA,"sandía",NA,NA,0
17,NA,"taco",NA,NA,0
17,NA,"té (food)",NA,NA,0
17,NA,"torta/lonche",NA,NA,0
17,NA,"yoghurt",NA,NA,0
17,NA,"zanahoria",NA,NA,0
17,NA,"camisa",NA,NA,0
17,NA,"chancla",NA,NA,0
17,NA,"gorra",NA,NA,0
17,NA,"guantes",NA,NA,0
17,NA,"ropa",NA,NA,0
17,NA,"garganta/anginas",NA,NA,0
17,NA,"hombro",NA,NA,0
17,NA,"labios",NA,NA,0
17,NA,"nalgas",NA,NA,0
17,NA,"burbujas",NA,NA,0
17,NA,"colores",NA,NA,0
17,NA,"crayolas",NA,NA,0
17,NA,"hoja/papel",NA,NA,0
17,NA,"patines",NA,NA,0
17,NA,"pinturas",NA,NA,0
17,NA,"pluma/plumones",NA,NA,0
17,NA,"triciclo (toys)",NA,NA,0
17,NA,"bolsa (household)",NA,NA,0
17,NA,"cassette",NA,NA,0
17,NA,"cerillos",NA,NA,0
17,NA,"cubeta",NA,NA,0
17,NA,"lámpara",NA,NA,0
17,NA,"olla",NA,NA,0
17,NA,"pasta de dientes",NA,NA,0
17,NA,"plancha",NA,NA,0
17,NA,"servilleta",NA,NA,0
17,NA,"bandera",NA,NA,0
17,NA,"hojas",NA,NA,0
17,NA,"maceta",NA,NA,0
17,NA,"manguera",NA,NA,0
17,NA,"palo",NA,NA,0
17,NA,"pasto",NA,NA,0
17,NA,"tierra",NA,NA,0
17,NA,"timbre",NA,NA,0
17,NA,"viento/aire",NA,NA,0
17,NA,"banco (outside)",NA,NA,0
17,NA,"champú",NA,NA,0
17,NA,"lavadora",NA,NA,0
17,NA,"patio (outside)",NA,NA,0
17,NA,"sillón",NA,NA,0
18,15,"vaca","cow",0,0
18,16,"tortuga","turtle",0,0
18,18,"ratón","mouse",0,0
18,19,"rana","frog",0,0
18,20,"puerco","pig",0,0
18,21,"pollito","chick",0,0
18,23,"pescado","fish (animal)",0,0
18,24,"perro","dog",1,0
18,25,"pato","duck",0,0
18,26,"pájaro","bird",0,0
18,27,"oso","bear",0,0
18,29,"mosca","fly (animal)",0,0
18,30,"mono","monkey",0,0
18,31,"mariposa","butterfly",0,0
18,32,"lobo","wolf",0,0
18,33,"león","lion",0,0
18,34,"jirafa","giraffe",0,0
18,35,"hormiga","ant",0,0
18,38,"gato","cat",0,0
18,40,"gallina","hen",0,0
18,42,"elefante","elephant",0,0
18,43,"conejo","bunny",0,0
18,46,"caballo","horse",0,0
18,47,"burro","donkey",0,0
18,50,"borrego","lamb",0,0
18,53,"araña","spider",0,0
18,54,"animal","animal",0,0
18,55,"abeja","bee",0,0
18,58,"tren","train",0,0
18,60,"moto","motorcycle",0,0
18,61,"helicóptero","helicopter",0,0
18,62,"carro/coche","car",1,0
18,64,"camión/troca","truck",0,0
18,66,"bicicleta","bicycle",0,0
18,67,"barco","boat",0,0
18,68,"avión","airplane",0,0
18,71,"arroz","rice",0,0
18,72,"atole","atole",0,0
18,75,"café","coffee",0,0
18,77,"carne","meat",0,0
18,81,"chile","chili",0,0
18,83,"comida","food",0,0
18,84,"dulce","candy",0,0
18,90,"frijoles","beans",0,0
18,91,"galleta","cookie",0,0
18,94,"helado/nieve","ice cream",0,0
18,97,"huevo","egg",0,0
18,98,"jamón","ham",0,0
18,99,"jugo","juice",0,0
18,105,"manzana","apple",0,0
18,108,"naranja","orange (food)",0,0
18,109,"paleta","lollipop",0,0
18,116,"pastel","cake",0,0
18,119,"plátano/banana","banana",0,0
18,120,"pollo","chicken (food)",0,0
18,121,"quesadilla","quesadilla",0,0
18,122,"queso","cheese",0,0
18,124,"salchicha","hot dog",0,0
18,127,"soda/refresco","soda",0,0
18,128,"sopa","soup",1,0
18,132,"tortilla","tortilla",0,0
18,133,"uvas","grapes",0,0
18,138,"botón","button",0,0
18,140,"calcetín","sock",0,0
18,141,"calzón","underpants",0,0
18,146,"falda","skirt",0,0
18,149,"lentes","glasses",0,0
18,151,"pañal","diaper",0,0
18,152,"pantalón","pants",0,0
18,153,"pijama","pajamas",0,0
18,154,"playera","t-shirt",0,0
18,156,"shorts","shorts",0,0
18,157,"sombrero","hat",0,0
18,158,"suéter","sweater",0,0
18,159,"vestido","dress (object)",0,0
18,162,"bigote","moustache",0,0
18,163,"boca","mouth",0,0
18,164,"brazo","arm",0,0
